socialMedia,time,count
twitter_status,2019-09-05,1
twitter_status,2019-09-08,3
twitter_status,2019-09-03,14
twitter_status,2019-09-15,6
twitter_status,2019-09-12,7
twitter_status,2019-09-11,1
twitter_status,2019-09-25,1
twitter_status,2019-09-26,2
twitter_status,2019-09-20,18
twitter_status,2019-10-05,8
twitter_status,2019-10-04,8
twitter_status,2019-10-03,9
twitter_status,2019-10-01,2
twitter_status,2019-09-28,1
twitter_status,2019-10-15,3
twitter_status,2019-10-13,1
twitter_status,2019-10-24,5
twitter_status,2019-10-23,3
twitter_status,2019-10-20,11
twitter_status,2019-10-17,1
twitter_status,2019-11-02,6
twitter_status,2019-10-26,43
twitter_status,2019-11-10,1
twitter_status,2019-11-07,3
twitter_status,2019-11-03,13
twitter_status,2019-11-04,2
twitter_status,2019-11-20,12
twitter_status,2019-11-19,3
twitter_status,2019-11-16,5
twitter_status,2019-11-17,2
twitter_status,2019-11-12,2
twitter_status,2019-11-27,2
twitter_status,2019-11-28,4
twitter_status,2019-11-23,25
twitter_status,2019-11-29,2
twitter_status,2019-12-04,6
twitter_status,2019-12-01,1
twitter_status,2019-12-02,2
twitter_status,2019-12-15,131
twitter_status,2019-12-16,52
twitter_status,2019-12-17,3
twitter_status,2019-12-14,37
twitter_status,2019-12-13,2
twitter_status,2019-12-12,9
twitter_status,2019-12-11,6
twitter_status,2019-12-09,1
twitter_status,2019-12-24,13
twitter_status,2019-12-25,11
twitter_status,2019-12-21,3
twitter_status,2019-12-26,8
twitter_status,2019-12-23,11
twitter_status,2019-12-20,9
twitter_status,2019-12-18,2
twitter_status,2019-12-30,14
twitter_status,2019-12-31,2
twitter_status,2019-12-27,4
twitter_status,2019-12-28,1
twitter_status,2019-12-29,2
twitter_status,2018-01-09,42
twitter_status,2018-01-07,10
twitter_status,2018-01-11,77
twitter_status,2018-01-12,30
twitter_status,2018-01-10,3
twitter_status,2018-01-22,7
twitter_status,2018-01-30,5
twitter_status,2018-02-10,7
twitter_status,2018-02-09,13
twitter_status,2018-02-21,6
twitter_status,2018-04-25,5
twitter_status,2018-04-21,12
twitter_status,2018-05-14,11
twitter_status,2018-07-14,51
twitter_status,2018-07-13,150
twitter_status,2018-08-13,13
twitter_status,2018-08-08,15
twitter_status,2018-08-11,11
twitter_status,2018-12-17,7
twitter_status,2018-12-18,28
twitter_status,2018-12-19,14
twitter_status,2018-01-06,1
twitter_status,2018-01-08,5
twitter_status,2018-01-02,2
twitter_status,2018-01-13,5
twitter_status,2018-01-16,2
twitter_status,2018-01-15,2
twitter_status,2018-01-18,2
twitter_status,2018-01-20,3
twitter_status,2018-02-03,3
twitter_status,2018-02-05,2
twitter_status,2018-01-31,1
twitter_status,2018-02-11,2
twitter_status,2018-02-06,1
twitter_status,2018-02-13,1
twitter_status,2018-02-23,1
twitter_status,2018-02-18,1
